Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
364,10/10/2014 - 1:38pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
365,10/10/2014 - 1:38pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"Healthy, tall,wide"
366,10/10/2014 - 1:39pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,none
367,10/10/2014 - 1:39pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,,
368,10/10/2014 - 1:39pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
369,10/10/2014 - 1:40pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
370,10/10/2014 - 1:41pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,limbs missing,
371,10/10/2014 - 11:41am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
372,10/10/2014 - 11:41am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
373,10/10/2014 - 11:41am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
374,10/10/2014 - 11:41am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
375,10/10/2014 - 11:42am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,one broken branch,
376,10/10/2014 - 11:42am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,broken limbs,
377,10/10/2014 - 11:43am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
378,10/10/2014 - 12:54pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,NONE,
379,10/10/2014 - 12:54pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
380,10/10/2014 - 12:55pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
381,10/10/2014 - 12:55pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None ,
382,10/10/2014 - 12:58pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
383,10/10/2014 - 12:59pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
384,10/10/2014 - 8:34am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none ,
385,10/10/2014 - 8:38am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Dead Branches,
386,10/10/2014 - 8:38am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,broken limbs ,
387,10/10/2014 - 8:38am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,broken lims ,
388,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,1 dead branch ,
389,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,couple dead branches,tastey
390,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
391,10/10/2014 - 8:40am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,FEW BROKEN LIMBS,
392,10/10/2014 - 8:41am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
393,10/10/2014 - 11:43am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
394,10/10/2014 - 12:54pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
395,10/10/2014 - 12:54pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
396,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,missing limbs,
397,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,missing limbs,
398,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,missing limbs,
399,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,missing limbs,
400,10/10/2014 - 8:40am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,One not at bottom.,little plants growing around it.
401,10/23/2014 - 2:27pm,,,,10/23/14,10/23/14,,Fall,Sugar Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,The central leader has died,
402,10/23/2014 - 3:27pm,,,,10/23/14,10/23/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
403,10/14/2014 - 1:21pm,,,,10/14/14,10/14/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Branches with no leaves,
404,10/14/2014 - 1:20pm,,,,10/14/14,10/14/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,heathly,
405,10/14/2014 - 1:23pm,,,,10/14/14,10/14/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
406,10/14/2014 - 1:26pm,,,,10/14/14,10/14/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
